Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2021-02-09,10.4,25.5,SE,54.0
2021-02-10,11.1,30.5,N,35.0
2021-02-11,16.6,33.2,NW,80.0
2021-02-12,12.8,21.9,WSW,39.0
2021-02-13,10.0,19.8,SSE,41.0
2021-02-14,9.8,20.9,SSE,44.0
2021-02-15,11.6,27.7,SE,52.0
2021-02-16,12.6,28.2,N,46.0
2021-02-17,13.7,30.5,SE,41.0
2021-02-18,14.6,28.5,NNE,57.0
2021-02-19,17.6,30.6,N,61.0
2021-02-20,19.6,32.1,N,48.0
2021-02-21,14.0,21.1,S,37.0
2021-02-22,11.2,19.4,SSW,46.0
2021-02-23,4.6,18.5,S,46.0
2021-02-24,5.4,19.5,SSE,35.0
2021-02-25,4.6,21.7,W,50.0
2021-02-26,8.6,19.1,SSE,41.0
2021-02-27,5.7,19.1,SSE,26.0
2021-02-28,6.3,28.1,NNW,41.0
2021-01-01,12.8,26.1,NNE,43.0
2021-01-02,15.7,25.1,S,44.0
2021-01-03,14.7,23.9,S,50.0
2021-01-04,11.6,17.6,S,52.0
2021-01-05,11.9,18.2,SSE,50.0
2021-01-06,9.5,19.1,SSE,52.0
2021-01-07,10.7,22.5,SSE,46.0
2021-01-08,11.1,26.3,SE,44.0
2021-01-09,9.9,31.0,SE,41.0
2021-01-10,13.1,35.9,ESE,31.0
2021-01-11,19.1,33.6,N,69.0
2021-01-12,14.0,23.4,S,46.0
2021-01-13,4.6,30.4,WNW,59.0
2021-01-14,9.9,21.4,SSW,37.0
2021-01-15,4.9,16.3,W,65.0
2021-01-16,8.3,17.0,WSW,52.0
2021-01-17,5.7,20.3,SSW,39.0
2021-01-18,9.8,21.0,SW,46.0
2021-01-19,8.9,18.8,SSE,52.0
2021-01-20,8.7,26.2,SE,54.0
2021-01-21,12.0,31.2,SE,39.0
2021-01-22,9.5,27.6,W,41.0
2021-01-23,11.1,32.2,W,35.0
2021-01-24,13.3,35.6,N,31.0
2021-01-25,21.0,36.5,NW,74.0
2021-01-26,15.5,21.1,S,50.0
2021-01-27,8.2,21.0,SE,69.0
2021-01-28,12.1,24.2,ESE,59.0
2021-01-29,14.8,19.6,NE,54.0
2021-01-30,12.6,21.4,SSW,35.0
2021-01-31,10.5,22.1,SE,46.0
2020-12-01,14.2,21.0,W,65.0
2020-12-02,3.8,17.2,W,33.0
2020-12-03,4.8,22.9,WNW,33.0
2020-12-04,6.0,21.7,WSW,31.0
2020-12-05,10.2,23.4,NNW,70.0
2020-12-06,7.4,17.3,WNW,61.0
2020-12-07,7.0,13.3,W,59.0
2020-12-08,5.5,13.6,WSW,37.0
2020-12-09,8.3,23.5,WSW,35.0
2020-12-10,9.0,16.5,SSE,59.0
2020-12-11,7.7,20.9,SE,52.0
2020-12-12,8.1,26.0,NNE,48.0
2020-12-13,14.4,27.8,NE,48.0
2020-12-14,16.0,30.5,NNE,50.0
2020-12-15,18.7,33.8,ESE,50.0
2020-12-16,11.7,24.9,SE,50.0
2020-12-17,12.1,27.1,WSW,44.0
2020-12-18,8.5,16.6,SW,43.0
2020-12-19,4.3,18.5,SE,37.0
2020-12-20,5.6,21.2,SE,46.0
2020-12-21,9.8,22.4,ESE,39.0
2020-12-22,10.0,12.3,SW,57.0
2020-12-23,6.2,16.7,SSW,33.0
2020-12-24,10.0,18.1,S,39.0
2020-12-25,6.6,18.6,SE,43.0
2020-12-26,6.9,27.2,WNW,44.0
2020-12-27,14.0,28.2,NW,74.0
2020-12-28,5.6,16.5,S,46.0
2020-12-29,4.1,20.5,SSE,43.0
2020-12-30,11.6,22.1,SSE,46.0
2020-12-31,11.5,21.8,SSE,52.0
